player_id,family_name,given_name,count_tournaments
P-05074,A'Court,Alan,1
P-00942,Abadzhiev,Stefan,1
P-03051,Abalo,Jean-Paul,1
P-03371,Abanda,Patrice,1
P-04977,Abate,Ignazio,1
P-06675,Abbadie,Julio,1
P-02825,Abbes,Claude,2
P-06214,Abbiati,Christian,1
P-05883,Abbondanzieri,Roberto,1
P-06019,Abd Al-Jawad,Mohamed,1
P-06687,Abdel Rahman,Adel,1
P-08319,Abdel Shafy,Mohamed,1
P-00067,Abdel-Hamid,Gamal,1
P-02311,Abdelghani,Magdi,1
P-09113,Abdellah,Nacer,1
P-01763,Abdollahi,Nasrollah,1
P-02876,Abdoun,Djamel,1
P-04573,Abdulghani,Hussein,2
P-04135,Abdulghani,Hussein,1
P-01597,Abdullah,Majed,1
P-08180,Abdullahi,Shehu,1
P-00800,Abdulrahman,Fahad,1
P-05270,Abe,Yuki,1
P-08280,Abedzadeh,Ahmad Reza,1
P-04364,Abedzadeh,Amir,1
P-09062,Abega,Théophile,1
P-05367,Abegglen,André,2
P-01401,Abel,not applicable,1
P-08746,Abelardo,not applicable,2
P-08688,Abeledo,Ramón,1
P-01155,Abid,Anad,1
P-01210,Abidal,Eric,2
P-06418,Ablanedo,Juan Carlos,2
P-03781,Abonyi,Attila,1
P-00061,Aboubakar,Vincent,2
P-05726,Abouzeid,Taher,1
P-03821,Abrahamsson,Henock,1
P-03561,Abramczik,Rüdiger,1
P-07032,Abrami,Lahcen,1
P-01284,Abreu,Marco,1
P-09248,Abreu,Sebastián,2
P-02948,Acácio,not applicable,1
P-08293,Acasuzo,Eusebio,1
P-03927,Aceros,Germán,1
P-00687,Aceval,Danilo,1
P-04924,Acevedo,David,1
P-08292,Acevedo,Eduardo Mario,1
P-00615,Acevedo,Elmer,1
P-00263,Achá,Alberto,1
P-04368,Achilier,Gabriel,1
P-04394,Achúcarro,Ignacio,1
P-09405,Aćimović,Jovan,1
P-00419,Ačimovič,Milenko,1
P-01630,Acosta,Jhonny,2
P-07165,Acquah,Afriyie,1
P-07169,Acuña,Clarence,1
P-00912,Acuña,Juan,1
P-05355,Acuña,Marcos,1
P-07815,Acuña,Roberto,3
P-05203,Adam,Glen,1
P-00659,Adamache,Stere,1
P-03688,Adamec,Jozef,2
P-08988,Adams,Ferdinand,1
P-06941,Adams,Stephen,1
P-08896,Adams,Tony,1
P-07835,Adamson,Jimmy,1
P-03870,Adãozinho,not applicable,1
P-00163,Addo,Eric,1
P-09971,Addo,Otto,1
P-08496,Addy,Lee,1
P-05661,Adebayor,Emmanuel,1
P-06220,Adelardo,not applicable,2
P-08351,Adeleye,Dele,1
P-04188,Ademir,not applicable,1
P-07662,Adepoju,Mutiu,3
P-00088,Adiyiah,Dominic,1
P-07070,Adjei,Sammy,1
P-02968,Ado,not applicable,1
P-05758,Adomah,Albert,1
P-08367,Adriano,not applicable,1
P-08418,Advíncula,Luis,1
P-09079,Aeby,Georges,1
P-00906,Aeby,Paul,1
P-02560,Afellay,Ibrahim,1
P-07574,Afful,Harrison,1
P-02686,Afolabi,Rabiu,2
P-05721,Afonin,Valentin,2
P-08254,Afonsinho,not applicable,1
P-05991,Agassa,Kossi,1
P-09211,Agbim,Chigozie,1
P-07029,Agbo,Hans,1
P-07762,Agboh,Kuami,1
P-05233,Agbonavbare,Wilfred,1
P-08906,Agger,Daniel,1
P-04240,Aghahowa,Julius,1
P-07349,Agoos,Jeff,2
P-03564,Agrebi,Hamadi,1
P-03208,Agu,Alloysius,1
P-00354,Águas,Rui,1
P-09997,Agüero,Juan Bautista,1
P-01157,Agüero,Sergio,3
P-09009,Aguilar,Abel,2
P-08992,Aguilar,Paul,2
P-07137,Aguilar,Samuel,1
P-07757,Aguilera,Carlos,2
P-09611,Aguilera,Carlos,1
P-05744,Aguilera,Edgar,1
P-00815,Aguilera,Juan,1
P-08649,Aguilera,Oscar,1
P-05308,Aguinaga,Álex,1
P-00053,Aguirre,Francisco,1
